game_id,incercari,cuvant,status,secventa
1,10,iconografă,OK,m a e i c o n g f ă
2,8,fagocitul,OK,i r f g o t u l
3,5,apicolilor,OK,o a i l r
4,5,hipoplazii,OK,i p l a z
5,4,prohodi,OK,p r d i
6,5,cioplea,OK,c i o e a
7,8,covârșitelor,OK,e c o â r ș t l
8,6,pârguirile,OK,r â g i l e
9,7,burghierile,OK,m b u g h i l
10,8,samavolnicii,OK,i s a v o l n c
11,4,cășăiește,OK,c ș i e
12,3,sisalul,OK,i l u
13,5,cinerariile,OK,c i n e l
14,9,dezaglomerăm,OK,e a d z g l o m ă
15,6,tetrodă,OK,e n a t o d
16,6,mânjiturii,OK,i m â n j t
17,8,desofisticării,OK,i d s o t c ă r
18,3,tăieri,OK,ă i e
19,7,gentileților,OK,o r g e n t ț
20,7,nenorocitul,OK,o n e r t u l
21,7,înaintă,OK,l i e î n a ă
22,5,istmicul,OK,i s t m c
23,9,ascuțitunghicul,OK,a s ț i t n g h l
24,6,obnubilărilor,OK,b n u i l r
25,6,bumbăcelului,OK,b u m e l i
26,8,postăvăriile,OK,p o s t v i l e
27,9,centrozomul,OK,u o l c n t r z m
28,7,debavurase,OK,i d e b a v r
29,8,vramițe,OK,o e i u r a m ț
30,5,retori,OK,a i o r e
31,8,epistolarelor,OK,u e p s t o a r
32,9,închiabureați,OK,î n c i a u r e ț
33,8,laminatoarea,OK,i a o p m n t r
34,6,platinez,OK,i l p a t n
35,6,țăndărelei,OK,l ț ă n e i
36,5,tevaturi,OK,e t v u i
37,5,fidanțata,OK,i a n ț t
38,8,exondările,OK,e x o n d ă r i
39,7,decomandată,OK,o d e c n t ă
40,5,omagiali,OK,e o a g i
41,7,stâlpisem,OK,o i s t â l m
42,4,elfilor,OK,f i o r
43,7,deconcertantele,OK,o d e n r t l
44,7,gagicului,OK,l o r a m g c
45,5,apelarăm,OK,p e r ă m
46,9,spermatofitelor,OK,r s p e m a t i l
47,8,necredincioșilor,OK,o n e c d i ș l
48,8,cinstețul,OK,o e i c n ț u l
49,8,neoformațiunii,OK,e i n f m a ț u
50,7,pegmatitul,OK,e m a t i u l
51,6,plutuiește,OK,e p l u i ș
52,6,cintezii,OK,l o c n t z
53,8,folfăiesc,OK,n l i f ă e s c
54,7,otorinolaringologelor,OK,o t r n a g e
55,5,estetizantei,OK,s t i z n
56,7,balaoacheșă,OK,a l o c h e ș
57,5,notăriță,OK,n t r i ț
58,4,duleți,OK,u e ț i
59,7,rickettsiozei,OK,r i c k t o z
60,3,cireșe,OK,i r e
61,5,zgărdat,OK,z g r a t
62,7,prețioaselor,OK,r p e ț i a s
63,6,dimprejur,OK,i m p e j u
64,6,bulbucat,OK,i o b u c a
65,6,arierdună,OK,i a r e u ă
66,6,flacidei,OK,i f l a d e
67,7,convenționali,OK,e c o n v i a
68,5,cuconiță,OK,n c u o i
69,7,neliniștitorului,OK,e l i t o r u
70,7,bihindisirile,OK,i h n d s l e
71,7,împlinirea,OK,i î m p r e a
72,5,instigând,OK,n t g â d
73,3,recente,OK,e n t
74,3,emblemă,OK,m b l
75,7,singurașul,OK,i s n u r a l
76,8,subsecretarului,OK,s u b c r a l i
77,10,devitalizaserăm,OK,r i a l d v t z s m
78,9,subapreciez,OK,o e s u b a p c z
79,5,clasatului,OK,a s t u i
80,7,faraonicul,OK,i o f a c u l
81,5,înrolărilor,OK,î n l ă i
82,5,primeziu,OK,i p m e z
83,5,cruciatului,OK,r u i t l
84,8,prodigatele,OK,r d i g a t e l
85,4,vina,OK,k u v i
86,5,cifrarăm,OK,c i a ă m
87,9,înfruntasem,OK,a i î n f r u t e
88,4,vioșeli,OK,v i e l
89,9,amușiserăți,OK,i r o a m u ș s e
90,7,telegrafiară,OK,t l g a f i ă
91,8,citronadele,OK,e o c i t r n l
92,10,baschetbaliștilor,OK,o i b a c h e t l ș
93,6,septicul,OK,u i s e t c
94,2,veneno,OK,v e
95,7,gudronăm,OK,m e g u d r n
96,7,cordenciului,OK,o d e n i u l
97,6,stropșire,OK,i r o p ș e
98,6,foiletonist,OK,o l e t n s
99,7,pliciseră,OK,e a p l i c r
100,3,achitat,OK,c h i
